source,text,url
Roseltorg,Росэлторг.Бизнес,https://business.roseltorg.ru/
Roseltorg,Корпоративные закупки и закупки субъектов 223-ФЗ (включая МСП),https://lk.roseltorg.ru/registration
Roseltorg,Перенести учетную запись в Росэлторг.ID Если у Вас уже есть учетная запись в старой версии секции ГК «Ростех». После переноса данных Вы сможете войти в Росэлторг.ID и новую версию секции ГК «Ростех».,https://rostec.roseltorg.ru/#auth/transfer
Roseltorg,Войти через Росэлторг.ID Если Вы уже перенесли свою учетную запись или хотите аккредитоваться в секции впервые. Подать заявку на аккредитацию и отслеживать ее статус можно в Росэлторг.ID.,https://lk.roseltorg.ru/
Roseltorg,Закупки,https://www.roseltorg.ru/torgi
Roseltorg,Закупки,https://www.roseltorg.ru/torgi
Roseltorg,44-ФЗ,https://www.roseltorg.ru/search/44fz
Roseltorg,223-ФЗ,https://www.roseltorg.ru/search/com
Roseltorg,Коммерческие закупки,https://rb.roseltorg.ru/?utm_source=roseltorg-ru&utm_medium=referral&utm_campaign=str-comm-prosedyre
Roseltorg,615-ПП РФ. Закупки по капитальному ремонту,https://www.roseltorg.ru/search/fkr
Roseltorg,Нестационарные торговые объекты,https://www.roseltorg.ru/imuschestvo/prochee/nestacionarnye-obekty
Roseltorg,Представление на торгах,https://www.roseltorg.ru/realty-support
Roseltorg,Сопровождение на торгах,https://www.roseltorg.ru/accompaniment
Roseltorg,Аналитика рынка закупок,https://www.roseltorg.ru/analitika
Roseltorg,Сервис управления закупками,https://www.roseltorg.ru/tenderplan
Roseltorg,Стать покупателем,https://www.roseltorg.ru/search/sale
Roseltorg,Представление на торгах,https://www.roseltorg.ru/realty-support
Roseltorg,Сопровождение на торгах,https://www.roseltorg.ru/accompaniment
Roseltorg,Аналитика рынка закупок,https://www.roseltorg.ru/analitika
Roseltorg,Сервис управления закупками,https://www.roseltorg.ru/tenderplan
Roseltorg,Торговая секция ГОС 1.0: etp.roseltorg.ru,https://etp.roseltorg.ru/
Roseltorg,Торговая секция МСП: msp.roseltorg.ru,https://msp.roseltorg.ru/
Roseltorg,44-ФЗ. Государственные закупки,https://www.roseltorg.ru
