category,count_2024,count_2025,count_change_pct,amount_2024_rub,amount_2025_rub,amount_change_pct
other,199,723,263.32,854215134.5,1523717468.2,78.38
it_and_telecom,61,149,144.26,199353739.18,707471000.22,254.88
logistics_and_facilities,13,119,815.38,17559800.0,377351120.96,2048.95
construction_and_repair,32,84,162.5,244554989.85,231743051.45,-5.24
professional_services,16,49,206.25,45835137.58,47156634.19,2.88
audit_and_assurance,4,6,50.0,2399536.34,24591095.0,924.83
insurance,0,3,,0,608016.0,
