source_system,source_record_id,purchase_number,title,customer_name,customer_inn,publication_date,amount_rub,source_url,match_quality
Sberbank-AST,SBR028-2503170016.1,SBR028-2503170016.1,г. Москва-2. Процедура продажи б.у. ИТ оборудования в количестве 43 штук.,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,2025-03-17,445000.00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2872978,candidate
Sberbank-AST,SBR028-2503170015.1,SBR028-2503170015.1,г. Москва-1. Процедура продажи б.у. ИТ оборудования в количестве 300 штук.,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,2025-03-17,327000.00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2872977,candidate
Sberbank-AST,SBR028-2503170013.1,SBR028-2503170013.1,г. Пермь. Процедура продажи б.у. ИТ оборудования в количестве 116 штук.,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,2025-03-17,349000.00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2872962,candidate
Sberbank-AST,SBR028-2503170012.1,SBR028-2503170012.1,г. Нижний Новгород 2. Процедура продажи б.у. ИТ оборудования в количестве 25 штук.,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,2025-03-17,375000.00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2872958,candidate
Sberbank-AST,SBR028-2503170011.1,SBR028-2503170011.1,г. Нижний Новгород 1. Процедура продажи б.у. ИТ оборудования в количестве 124 штук.,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,2025-03-17,236000.00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2872953,candidate
Sberbank-AST,SBR028-2503170010.1,SBR028-2503170010.1,г. Казань. Процедура продажи б.у. ИТ оборудования в количестве 58 штук.,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,2025-03-17,58000.00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2872950,candidate
Sberbank-AST,SBR028-2503170009.1,SBR028-2503170009.1,г. Владимир . Процедура продажи б.у. ИТ оборудования в количестве 143 штук.,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,2025-03-17,287500.00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2872948,candidate
Sberbank-AST,SBR028-2503170008.1,SBR028-2503170008.1,г. Чита. Процедура продажи б.у. ИТ оборудования в количестве 77 штук.,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,2025-03-17,114800.00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2872944,candidate
Sberbank-AST,SBR065-2503140015.1,SBR065-2503140015.1,"Английский аукцион на повышение на право заключения Договора аренды нежилого помещения ориентировочной площадью 243,7 кв. м., расположенного по адресу: Кемеровская область, г. Прокопьевск, ул. Селиванова, д. 2, пом. 1п, принадлежащего ПАО Сбербанк",Сибирский банк ПАО Сбербанк,7707083893,2025-03-14,100209.44,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2866680,candidate
Sberbank-AST,SBR065-2503140014.1,SBR065-2503140014.1,"Английский аукцион на повышение на право заключения договора аренды нежилых помещений площадью 122,2 кв. м расположенных по адресу: Краснодарский кр., г. Новороссийск, ул. Сухумийское шоссе, дом №38, принадлежащих ПАО Сбербанк.",Юго-Западный Банк ПАО Сбербанк,7707083893,2025-03-14,62761.92,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2866609,candidate
Sberbank-AST,SBR065-2503140013.1,SBR065-2503140013.1,"Английский аукцион на повышение на право заключения договора аренды нежилых помещений площадью 86,95 кв. м. расположенных по адресу: Краснодарский кр., г. Новороссийск, ул. Сухумийское шоссе, дом №38, принадлежащих ПАО Сбербанк.",Юго-Западный Банк ПАО Сбербанк,7707083893,2025-03-14,44657.52,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2866608,candidate
Sberbank-AST,SBR065-2503140012.1,SBR065-2503140012.1,"Английский аукцион на повышение на право заключения Договора купли-продажи будущей вещи нежилого помещения ориентировочной площадью 243,7 кв. м., расположенного по адресу: Кемеровская область, г. Прокопьевск, ул. Селиванова, д. 2, пом. 1п, принадлежащего ПАО Сбербанк",Сибирский банк ПАО Сбербанк,7707083893,2025-03-14,8819200.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2866606,candidate
Sberbank-AST,SBR065-2503140010.1,SBR065-2503140010.1,"Английский аукцион на повышение на право заключения договора аренды нежилого помещения площадью 113,0 кв.м. расположенного по адресу: Краснодарский край, Гулькевичский район, г. Гулькевичи, микрорайон Западный, д. 21, принадлежащего ПАО Сбербанк.",Юго-Западный Банк ПАО Сбербанк,7707083893,2025-03-14,52432.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2866533,candidate
Sberbank-AST,SBR065-2503140011.1,SBR065-2503140011.1,"Английский аукцион на повышение на право заключения договора купли-продажи нежилого помещения площадью 113,0 кв.м. расположенного по адресу: Краснодарский край, Гулькевичский район, г. Гулькевичи, микрорайон Западный, д. 21, принадлежащего ПАО Сбербанк.",Юго-Западный Банк ПАО Сбербанк,7707083893,2025-03-14,4203000.00,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2866537,candidate
Sberbank-AST,SBR065-2503140009.1,SBR065-2503140009.1,"Английский аукцион на повышение на право заключения договора аренды части нежилого помещения площадью 372,8 кв.м., расположенного по адресу: г. Москва, Можайское шоссе, д. 4, корп. 1, принадлежащего ПАО Сбербанк",Публичное акционерное общество «Сбербанк России»,7707083893,2025-03-14,557242.80,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2866519,candidate
Sberbank-AST,SBR065-2503140007.1,SBR065-2503140007.1,"Английский аукцион на повышение на право заключения договора аренды нежилых помещений площадью 32,6 кв. м., расположенного по адресу: Пермский край, г. Соликамск, ул. Калийная, 130, принадлежащего ПАО Сбербанк",Волго-Вятский банк ПАО Сбербанк,7707083893,2025-03-14,7119.84,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2866073,candidate
Sberbank-AST,SBR065-2503140008.1,SBR065-2503140008.1,"Английский аукцион на повышение на право заключения договора аренды нежилого помещения площадью 27,0 кв. м., расположенного по адресу: Пермский край, г. Соликамск, ул. Калийная, 130, принадлежащего ПАО Сбербанк",Волго-Вятский банк ПАО Сбербанк,7707083893,2025-03-14,5896.80,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/43/0/0/2866076,candidate
Sberbank-AST,SBR065-2503140006.1,SBR065-2503140006.1,"Голландский аукцион на понижение с дополнительным этапом на повышение на право заключения договора аренды нежилого помещения, площадью 18,4 кв.м., расположенного по адресу: Пермский край, г. Соликамск, ул. Калийная, 130, принадлежащего ПАО Сбербанк.",Волго-Вятский банк ПАО Сбербанк,7707083893,2025-03-14,4018.56,https://utp.sberbank-ast.ru/Property/NBT/PurchaseView/30/0/0/2866043,candidate
