canonical_purchase_id,duplicate_source,duplicate_record_id,kept_source,kept_record_id,duplicate_type,match_method,match_confidence,purchase_number,publication_date,amount_rub,source_url
purchase:1895000000824000001,EIS,1895000000824000001,Sberbank-AST,1895000000824000001,cross_source_same_purchase,exact_purchase_number,1.0,1895000000824000001,2024-12-04,1066759667.00,https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=1895000000824000001
purchase:1200700144924000002,EIS,1200700144924000002,Sberbank-AST,1200700144924000002,cross_source_same_purchase,exact_purchase_number,1.0,1200700144924000002,2024-11-28,1199767.67,https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=1200700144924000002
purchase:1200700144924000001,EIS,1200700144924000001,Sberbank-AST,1200700144924000001,cross_source_same_purchase,exact_purchase_number,1.0,1200700144924000001,2024-11-27,1199767.67,https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=1200700144924000001
